item_id,template_family,paraphrase_group,option_A_benefit_magnitude,option_A_harm_magnitude,option_A_benefit_probability,option_A_temporal_delay,option_A_directness_of_harm,option_A_beneficiary_identified,option_A_consent_of_harmed_party,option_A_reversibility_of_harm,option_B_benefit_magnitude,option_B_harm_magnitude,option_B_benefit_probability,option_B_temporal_delay,option_B_directness_of_harm,option_B_beneficiary_identified,option_B_consent_of_harmed_party,option_B_reversibility_of_harm,option_order,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm,anchor_flag
cand_0000,rescue_triage,pg_0000,100,10,1.0,100,0,0,0,0,100,0,1.0,100,1,0,0,0,BA,0,10,0.0,0,-1,0,0,0,False
cand_0001,policy_prevention,pg_0001,100,1,1.0,0,1,0,1,0,1000,10,1.0,10,0,0,0,0,BA,-900,-9,0.0,-10,1,0,1,0,False
cand_0002,direct_harm_tradeoff,pg_0002,100,1,0.5,100,1,0,0,1,10,1,0.2,10,0,1,1,0,AB,90,0,0.3,90,1,-1,-1,1,False
cand_0003,rescue_triage,pg_0003,100,1,0.5,10,1,0,0,0,100,0,0.5,0,0,0,0,0,BA,0,1,0.0,10,1,0,0,0,False
cand_0004,policy_prevention,pg_0004,1000,1,0.2,0,0,1,0,0,100,10,1.0,10,0,0,1,0,BA,900,-9,-0.8,-10,0,1,-1,0,False
cand_0005,direct_harm_tradeoff,pg_0005,100,1,0.2,0,0,1,1,1,10,10,0.2,0,0,1,1,0,BA,90,-9,0.0,0,0,0,0,1,False
cand_0006,rescue_triage,pg_0006,1000,1,1.0,0,1,0,0,0,1000,1,0.5,10,0,0,0,0,BA,0,0,0.5,-10,1,0,0,0,False
cand_0007,policy_prevention,pg_0007,10,0,0.5,100,1,0,0,0,1000,10,1.0,0,1,0,1,0,BA,-990,-10,-0.5,100,0,0,-1,0,False
cand_0008,direct_harm_tradeoff,pg_0008,1000,0,1.0,10,1,0,0,0,10,1,1.0,0,1,1,0,0,AB,990,-1,0.0,10,0,-1,0,0,False
cand_0009,rescue_triage,pg_0009,100,1,0.5,10,0,1,0,1,10,0,0.5,0,1,0,0,0,AB,90,1,0.0,10,-1,1,0,1,False
cand_0010,policy_prevention,pg_0010,100,0,1.0,0,0,1,0,0,10,10,1.0,100,0,1,1,0,AB,90,-10,0.0,-100,0,0,-1,0,False
cand_0011,direct_harm_tradeoff,pg_0011,1000,1,0.2,10,0,1,1,1,10,1,1.0,0,0,1,0,1,AB,990,0,-0.8,10,0,0,1,0,False
cand_0012,rescue_triage,pg_0012,10,10,1.0,100,1,0,1,1,10,10,0.2,0,0,1,1,0,BA,0,0,0.8,100,1,-1,0,1,False
cand_0013,policy_prevention,pg_0013,10,1,0.5,10,0,0,0,0,1000,1,0.5,10,0,1,1,1,BA,-990,0,0.0,0,0,-1,-1,-1,False
cand_0014,direct_harm_tradeoff,pg_0014,100,0,1.0,100,0,1,0,0,1000,1,0.2,100,0,0,1,0,AB,-900,-1,0.8,0,0,1,-1,0,False
cand_0015,rescue_triage,pg_0015,1000,10,0.2,0,1,0,1,1,10,10,0.5,100,0,1,0,1,BA,990,0,-0.3,-100,1,-1,1,0,False
cand_0016,policy_prevention,pg_0016,100,10,1.0,0,1,0,0,1,10,1,0.2,100,0,1,0,1,AB,90,9,0.8,-100,1,-1,0,0,False
cand_0017,direct_harm_tradeoff,pg_0017,1000,1,0.2,10,1,0,0,0,1000,1,0.2,0,1,0,1,1,BA,0,0,0.0,10,0,0,-1,-1,False
cand_0018,rescue_triage,pg_0018,10,10,0.5,10,0,1,1,1,1000,1,0.2,0,0,0,1,1,AB,-990,9,0.3,10,0,1,0,0,False
cand_0019,policy_prevention,pg_0019,100,1,0.5,10,1,1,1,1,100,10,0.2,10,0,0,0,1,AB,0,-9,0.3,0,1,1,1,0,False
cand_0020,direct_harm_tradeoff,pg_0020,10,10,0.2,10,1,1,1,0,10,1,0.2,0,0,1,0,0,BA,0,9,0.0,10,1,0,1,0,False
cand_0021,rescue_triage,pg_0021,100,10,1.0,100,0,0,0,0,100,1,0.2,100,0,0,1,0,BA,0,9,0.8,0,0,0,-1,0,False
cand_0022,policy_prevention,pg_0022,100,10,0.2,10,1,0,0,0,100,10,1.0,0,0,1,1,0,BA,0,0,-0.8,10,1,-1,-1,0,False
cand_0023,direct_harm_tradeoff,pg_0023,1000,1,0.2,10,0,1,1,0,10,10,1.0,0,1,0,0,1,AB,990,-9,-0.8,10,-1,1,1,-1,False
cand_0024,rescue_triage,pg_0024,1000,10,1.0,10,1,0,0,1,10,1,1.0,100,0,1,1,0,AB,990,9,0.0,-90,1,-1,-1,1,False
cand_0025,policy_prevention,pg_0025,1000,10,1.0,100,0,1,1,0,1000,1,1.0,0,0,0,1,0,AB,0,9,0.0,100,0,1,0,0,False
cand_0026,direct_harm_tradeoff,pg_0026,1000,1,1.0,0,0,1,0,0,10,10,0.5,10,1,1,0,0,AB,990,-9,0.5,-10,-1,0,0,0,False
cand_0027,rescue_triage,pg_0027,10,1,0.2,10,0,0,1,1,100,10,0.2,0,0,0,0,1,BA,-90,-9,0.0,10,0,0,1,0,False
cand_0028,policy_prevention,pg_0028,1000,10,1.0,100,1,0,1,0,100,10,1.0,100,1,1,0,0,AB,900,0,0.0,0,0,-1,1,0,False
cand_0029,direct_harm_tradeoff,pg_0029,10,10,1.0,100,0,0,0,0,10,1,0.5,10,1,0,0,0,AB,0,9,0.5,90,-1,0,0,0,False
cand_0030,rescue_triage,pg_0030,1000,10,0.2,0,1,1,1,1,100,1,0.5,10,1,0,0,1,AB,900,9,-0.3,-10,0,1,1,0,False
cand_0031,policy_prevention,pg_0031,100,1,0.5,10,0,0,1,0,100,1,0.2,0,0,0,1,0,AB,0,0,0.3,10,0,0,0,0,False
cand_0032,direct_harm_tradeoff,pg_0032,10,10,0.2,10,0,1,0,1,10,10,1.0,0,0,1,1,0,BA,0,0,-0.8,10,0,0,-1,1,False
cand_0033,rescue_triage,pg_0033,100,10,0.5,10,0,0,1,0,100,0,0.2,100,0,1,0,0,AB,0,10,0.3,-90,0,-1,1,0,False
cand_0034,policy_prevention,pg_0034,100,1,0.2,10,0,0,0,0,10,10,0.5,0,1,0,0,0,BA,90,-9,-0.3,10,-1,0,0,0,False
cand_0035,direct_harm_tradeoff,pg_0035,10,10,0.5,0,0,1,0,1,1000,1,0.2,0,0,0,0,1,BA,-990,9,0.3,0,0,1,0,0,False
cand_0036,rescue_triage,pg_0036,1000,1,0.2,0,1,1,1,0,100,1,0.2,0,0,1,1,0,AB,900,0,0.0,0,1,0,0,0,False
cand_0037,policy_prevention,pg_0037,100,1,0.2,0,0,0,1,1,1000,10,0.2,10,0,0,0,1,AB,-900,-9,0.0,-10,0,0,1,0,False
cand_0038,direct_harm_tradeoff,pg_0038,1000,0,0.5,0,0,0,0,0,10,1,1.0,10,0,1,1,0,AB,990,-1,-0.5,-10,0,-1,-1,0,False
cand_0039,rescue_triage,pg_0039,1000,1,0.2,100,1,0,0,0,100,10,0.2,10,1,1,1,0,AB,900,-9,0.0,90,0,-1,-1,0,False
cand_0040,policy_prevention,pg_0040,100,1,0.2,10,1,0,0,0,1000,1,1.0,0,0,1,1,0,BA,-900,0,-0.8,10,1,-1,-1,0,False
cand_0041,direct_harm_tradeoff,pg_0041,100,1,0.5,0,1,1,1,0,1000,0,0.5,10,0,1,0,0,AB,-900,1,0.0,-10,1,0,1,0,False
cand_0042,rescue_triage,pg_0042,10,10,1.0,10,0,0,0,0,100,10,0.5,100,1,1,0,0,BA,-90,0,0.5,-90,-1,-1,0,0,False
cand_0043,policy_prevention,pg_0043,10,1,0.5,100,1,0,0,0,100,1,0.5,10,0,0,0,0,AB,-90,0,0.0,90,1,0,0,0,False
cand_0044,direct_harm_tradeoff,pg_0044,100,10,1.0,100,1,0,0,0,10,1,0.2,100,1,0,1,1,AB,90,9,0.8,0,0,0,-1,-1,False
cand_0045,rescue_triage,pg_0045,10,1,0.5,100,0,0,1,1,100,10,0.2,100,1,0,0,1,AB,-90,-9,0.3,0,-1,0,1,0,False
cand_0046,policy_prevention,pg_0046,10,10,1.0,0,0,1,0,0,1000,10,0.2,100,1,1,1,0,BA,-990,0,0.8,-100,-1,0,-1,0,False
cand_0047,direct_harm_tradeoff,pg_0047,100,10,0.5,10,1,0,0,1,100,10,0.2,100,1,1,0,1,AB,0,0,0.3,-90,0,-1,0,0,False
cand_0048,rescue_triage,pg_0048,10,1,0.5,0,0,1,0,0,1000,10,0.5,100,1,0,1,0,AB,-990,-9,0.0,-100,-1,1,-1,0,False
cand_0049,policy_prevention,pg_0049,100,1,0.2,10,1,1,0,1,1000,1,0.2,0,0,1,1,0,AB,-900,0,0.0,10,1,0,-1,1,False
cand_0050,direct_harm_tradeoff,pg_0050,10,10,0.5,10,0,1,0,1,100,1,0.5,0,0,1,1,0,AB,-90,9,0.0,10,0,0,-1,1,False
cand_0051,rescue_triage,pg_0051,10,1,0.5,10,0,0,0,0,100,10,0.2,10,0,1,0,0,AB,-90,-9,0.3,0,0,-1,0,0,False
cand_0052,policy_prevention,pg_0052,1000,1,0.2,100,0,1,1,0,10,10,0.5,0,1,0,1,0,AB,990,-9,-0.3,100,-1,1,0,0,False
cand_0053,direct_harm_tradeoff,pg_0053,100,1,1.0,100,0,0,1,0,100,1,1.0,0,0,0,1,0,AB,0,0,0.0,100,0,0,0,0,False
cand_0054,rescue_triage,pg_0054,10,10,0.5,100,0,0,0,0,10,0,0.2,10,1,1,0,0,BA,0,10,0.3,90,-1,-1,0,0,False
cand_0055,policy_prevention,pg_0055,10,0,0.2,0,1,1,0,0,1000,10,0.2,0,1,0,0,1,AB,-990,-10,0.0,0,0,1,0,-1,False
cand_0056,direct_harm_tradeoff,pg_0056,10,10,1.0,0,0,1,1,1,100,1,1.0,100,1,1,1,0,AB,-90,9,0.0,-100,-1,0,0,1,False
cand_0057,rescue_triage,pg_0057,10,1,0.2,0,1,0,1,0,10,10,0.5,10,1,1,0,0,BA,0,-9,-0.3,-10,0,-1,1,0,False
cand_0058,policy_prevention,pg_0058,1000,10,0.5,10,0,0,0,0,1000,0,1.0,100,0,1,0,0,AB,0,10,-0.5,-90,0,-1,0,0,False
cand_0059,direct_harm_tradeoff,pg_0059,100,10,0.5,10,1,1,0,0,1000,10,0.2,100,0,0,1,1,AB,-900,0,0.3,-90,1,1,-1,-1,False
cand_0060,rescue_triage,pg_0060,10,10,0.2,10,0,0,1,0,10,0,0.5,0,0,0,0,0,BA,0,10,-0.3,10,0,0,1,0,False
cand_0061,policy_prevention,pg_0061,100,1,1.0,100,0,1,0,0,100,0,0.5,0,0,0,0,0,BA,0,1,0.5,100,0,1,0,0,False
cand_0062,direct_harm_tradeoff,pg_0062,100,1,0.2,10,0,1,0,0,1000,1,0.2,100,0,1,1,1,AB,-900,0,0.0,-90,0,0,-1,-1,False
cand_0063,rescue_triage,pg_0063,10,1,1.0,10,0,1,1,0,1000,10,0.5,100,0,0,1,0,AB,-990,-9,0.5,-90,0,1,0,0,False
cand_0064,policy_prevention,pg_0064,100,10,0.5,100,0,1,0,1,100,1,0.5,100,1,0,1,1,AB,0,9,0.0,0,-1,1,-1,0,False
cand_0065,direct_harm_tradeoff,pg_0065,1000,10,1.0,100,0,1,0,0,1000,10,0.5,0,1,1,0,1,AB,0,0,0.5,100,-1,0,0,-1,False
cand_0066,rescue_triage,pg_0066,1000,10,1.0,0,1,0,0,0,1000,10,1.0,100,0,1,1,0,BA,0,0,0.0,-100,1,-1,-1,0,False
cand_0067,policy_prevention,pg_0067,1000,1,0.5,100,0,1,1,1,1000,10,0.2,0,0,0,1,0,BA,0,-9,0.3,100,0,1,0,1,False
cand_0068,direct_harm_tradeoff,pg_0068,10,1,0.2,0,0,1,1,0,100,1,1.0,0,0,0,0,0,AB,-90,0,-0.8,0,0,1,1,0,False
cand_0069,rescue_triage,pg_0069,10,0,0.2,10,1,1,0,0,1000,0,1.0,100,1,0,0,0,BA,-990,0,-0.8,-90,0,1,0,0,False
cand_0070,policy_prevention,pg_0070,100,0,0.5,0,1,1,0,0,10,10,0.5,0,0,1,0,0,BA,90,-10,0.0,0,1,0,0,0,False
cand_0071,direct_harm_tradeoff,pg_0071,1000,10,0.5,10,1,1,0,0,10,10,0.2,10,1,0,0,0,AB,990,0,0.3,0,0,1,0,0,False
cand_0072,rescue_triage,pg_0072,1000,10,0.2,0,0,0,1,1,10,1,0.5,0,0,1,1,0,AB,990,9,-0.3,0,0,-1,0,1,False
cand_0073,policy_prevention,pg_0073,10,10,0.5,10,1,0,1,1,10,10,1.0,10,0,0,1,0,BA,0,0,-0.5,0,1,0,0,1,False
cand_0074,direct_harm_tradeoff,pg_0074,10,10,1.0,10,1,1,1,1,1000,10,1.0,0,1,0,1,1,BA,-990,0,0.0,10,0,1,0,0,False
cand_0075,rescue_triage,pg_0075,10,1,0.5,100,0,0,0,1,10,10,0.2,0,1,0,0,1,AB,0,-9,0.3,100,-1,0,0,0,False
cand_0076,policy_prevention,pg_0076,1000,10,1.0,0,1,0,0,0,10,1,0.2,0,1,1,0,1,BA,990,9,0.8,0,0,-1,0,-1,False
cand_0077,direct_harm_tradeoff,pg_0077,1000,0,1.0,100,0,0,0,0,100,10,0.2,100,0,0,0,1,AB,900,-10,0.8,0,0,0,0,-1,False
cand_0078,rescue_triage,pg_0078,1000,1,1.0,10,0,0,0,0,1000,1,0.2,100,0,0,1,0,BA,0,0,0.8,-90,0,0,-1,0,False
cand_0079,policy_prevention,pg_0079,1000,1,0.5,0,1,1,1,0,10,1,0.2,10,1,0,0,1,AB,990,0,0.3,-10,0,1,1,-1,False
cand_0080,direct_harm_tradeoff,pg_0080,100,10,0.2,0,1,1,1,1,1000,10,0.5,0,0,0,1,0,AB,-900,0,-0.3,0,1,1,0,1,False
